0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.778999766021094,-8.274797254277965,33.97722896269141,3.7832860155641996,-9.44272600478713,BMW,X5,Xdrive50i,SUV,Petrol,Automatic Transmission,4000+ cc,,White,Brown,Yes,Dubai,Dealer,283000
,-8.17280638860246,128.07905301928008,6.5762473628463125,,Mercedes-Benz,G-Class,G 63 AMG,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Orange,Black,Yes,Dubai,Dealer,899000
-4.825582509172977,-8.344097227128422,8.45201153578208,1.3804576110132396,-16.372902626287235,Toyota,Crown,Other,Sedan,Hybrid,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Black,Black,Does not apply,Dubai,Dealer,150000
-4.807861286640636,-7.837180627250758,0.8549144908501949,,20.670089076696698,Nissan,Altima,S,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Black,Beige,Does not apply,Dubai,Owner,15500
-4.825373429384706,-8.1185023766214,1.3505768458574217,3.985160689172363,-19.048208991868634,BMW,M850i,Other,Coupe,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Unknown,Does not apply,Dubai,Owner,290000
-4.636115058918536,-7.623159723253198,291.48766330853925,2.2489916729031894,15.873830317571894,Dodge,Durango,Limited,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,White,Beige,No,Dubai,Dealer,42900
-4.778313461880393,-8.354481890824928,2.035264225270742,0.9224907694813007,-8.83168101462553,Suzuki,Celerio,Other,Hatchback,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,Grey,Black,No,Dubai,Dealer,29300
-4.834978099854586,-7.269757821143772,21.77014366903596,0.6928873176376256,18.339890514708316,Ford,Escape,XLS,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,Unknown,White,Beige,No,Dubai,Owner,14500
-4.809112429806371,-7.6576205853773045,437.7573547028822,5.587859257029869,21.660833381454438,Porsche,Cayenne,S,SUV,Petrol,Automatic Transmission,4000+ cc,400 - 499 HP,Brown,Brown,No,Dubai,Dealer,44000
-4.7661536428098,-8.02727546422376,,0.831456792431408,-13.839563342560329,MINI,Countryman,S,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Blue,Unknown,No,Dubai,Dealer,162900
-4.59751020030137,-8.136126975222558,1.2485138603813075,6.387122990082425,-17.56283208219079,Chevrolet,Suburban,LT,SUV,Petrol,Automatic Transmission,,300 - 399 HP,Red,Black,No,Sharjah,Dealer,179500
-4.70615775108088,-8.217640007034284,94.61282768649748,1.509780008378448,-10.534275523509702,Toyota,Rush,GX,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Red,Black,Does not apply,Sharjah,Dealer,55499
-4.830607848090271,-8.036197256267593,201.54887247792718,0.7574283989084264,-0.20366344975637485,Volkswagen,Tiguan,R-line,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Silver,Black,Yes,Dubai,Dealer,125900
-4.808403279496817,-8.182151441754085,5.741493620959707,0.9397851795488088,-11.44426529099405,Honda,City,EX,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Brown,Beige,Does not apply,Dubai,Owner,55500
-4.806287495797439,,17.2382302103245,3.5868946610936505,5.10691338421196,Mercedes-Benz,S-Class,S 500l,Sedan,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Black,Black,Does not apply,Dubai,Dealer,93000
-4.7264275554672714,-8.178479940805707,0.6042688552018214,4.591542596000993,-20.758072306601356,Mercedes-Benz,G-Class,Other,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,600 - 699 HP,Green,Green,Does not apply,Dubai,Dealer,1200
-4.828715195345696,-8.206920877899307,20.144826206863176,1.1057030263200347,-16.040307438873107,Jetour,Dashing,1.6T Luxury,SUV,Petrol,Automatic Transmission,,,Grey,Beige,Yes,Dubai,Dealer,109000
-4.751188935272422,-7.730828076523687,185.72829059383258,4.439319128373945,22.33726443746861,Land Rover,Range Rover,HSE TOP,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,Black,Unknown,No,Dubai,Owner,45000
-5.0247221987642625,,0.002464800353521311,2.031827749041018,6.1180964943622165,Porsche,Carrera / 911,Carrera,Coupe,Petrol,Automatic Transmission,,400 - 499 HP,Red,Beige,Does not apply,Dubai,Owner,259000
-4.763779679703088,-8.009969292514096,1.6263427355484896,1.4162792230674406,-7.348980740504336,Nissan,Kicks,SV,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Grey,Black,Yes,Sharjah,Dealer,35000
-4.836053778263278,-8.205645144893968,0.0002878506730732822,40.060821478322794,3.2507948166831113,Aston Martin,DB11,V12 Coupe,Coupe,Petrol,Automatic Transmission,,600 - 699 HP,Silver,White,Yes,Dubai,Dealer,499000
-4.751783747702006,-8.256800009182045,887.7689044350989,,-9.46145912913947,Hyundai,Santa Fe,GLS,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,White,Brown,No,Dubai,Dealer,140900
-5.127045911928043,-8.161429454650698,452.1447147581385,1.140066891125853,-17.41473350399922,Hyundai,Creta,GLS,SUV,Petrol,Automatic Transmission,,100 - 199 HP,Orange,Beige,No,Sharjah,Dealer,65000
-4.802165472033586,-7.984211877557837,0.15899647856531057,0.9683769344191694,-5.71214566922423,MINI,Cooper,Cooper Cabrio,Hard Top Convertible,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Red,Black,No,Dubai,Dealer,59000
-4.684543158080526,-8.131022435227237,0.5557182447012895,1.4920615970839628,-16.375483532369365,Toyota,Fortuner,Other,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,Black,Tan,Does not apply,Dubai,Dealer,115000
-5.058192290513247,-7.7771963781858355,0.0070484483482329404,3.094942085291175,14.447273021702195,Chevrolet,Camaro,RS,Coupe,Petrol,Automatic Transmission,,200 - 299 HP,Orange,Black,No,Dubai,Dealer,32000
-4.758771257873725,-8.001781997890978,5.371688863657081,2.13219064870853,-0.9070626990672953,Genesis,G70,Royal,Sedan,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Black,Yes,Dubai,Owner,108000
,-7.800525432178441,1.4177502881357449,0.8454469471755494,2.6792038034719403,Mitsubishi,L200,Double Cab GL,Pick Up Truck,Petrol,Manual Transmission,2000 - 2499 cc,200 - 299 HP,White,Unknown,No,Dubai,Dealer,49000
